NAMTHANG,MACC,MACH,CSC,CSM,End
201104,CC02,A02-01,63,97,*
201104,CC02,A02-03,49,60,*
201104,CC02,A02-04,37,46,*
201104,CC02,B02-02,10,16,*
201104,CC02,B02-03,17,20,*
201104,CC02,B02-05,39,49,*
201104,CC02,C02-01,9980,9997,*
201104,CC02,C02-02,32,39,*
201104,CC02,C02-03,54,55,*
201104,CC02,C02-04,12,12,*
201104,CC02,C02-05,5,5,*
201104,CC02,D02-01,22,28,*
201104,CC02,D02-02,32,50,*
201104,CC02,E02-01,56,99,*
201104,CC02,E02-03,15,21,*
201104,CC02,E02-04,61,92,*
201104,CC02,F02-04,13,33,*
201104,CC02,A03-03,60,81,*
201104,CC02,A03-04,28,39,*
201104,CC02,B03-01,22,26,*
201104,CC02,B03-02,65,84,*
201104,CC02,B03-03,24,39,*
201104,CC02,C03-01,2,9,*
201104,CC02,C03-04,13,20,*
201104,CC02,D03-01,20,24,*
201104,CC02,D03-02,2,15,*
201104,CC02,D03-03,4,5,*
201104,CC02,D03-05,29,38,*
201104,CC02,E03-03,27,33,*
201104,CC02,E03-04,58,70,*
201104,CC02,F03-02,42,61,*
201104,CC02,F03-03,26,38,*
201104,CC02,F03-05,52,72,*
201104,CC02,A04-02,2,4,*
201104,CC02,A04-04,32,45,*
201104,CC02,B04-05,23,34,*
201104,CC02,C04-01,11,17,*
201104,CC02,C04-02,21,27,*
201104,CC02,D04-01,31,44,*
201104,CC02,D04-02,29,35,*
201104,CC02,D04-03,13,24,*
201104,CC02,D04-04,46,56,*
201104,CC02,D04-05,73,101,*
201104,CC02,E04-02,11,34,*
201104,CC02,E04-05,3,11,*
201104,CC02,F04-02,11,18,*
201104,CC02,F04-04,62,73,*
201104,CC02,F04-05,34,54,*
201104,CC02,A05-04,30,36,*
201104,CC02,A05-05,18,21,*
201104,CC02,C05-05,63,77,*
201104,CC02,D05-03,19,36,*
201104,CC02,E05-02,38,48,*
201104,CC02,E05-04,19,26,*
201104,CC02,F05-03,27,32,*
201104,CC02,F05-05,18,25,*
201104,CC02,A06-03,30,42,*
201104,CC02,B06-01,39,52,*
201104,CC02,B06-02,7,27,*
201104,CC02,B06-03,21,25,*
201104,CC02,B06-04,36,48,*
201104,CC02,C06-05,40,55,*
201104,CC02,D06-04,18,22,*
201104,CC02,E06-03,10,32,*
201104,CC02,E06-05,21,29,*
201104,CC02,B07-02,14,27,*
201104,CC02,B07-03,4,14,*
201104,CC02,B07-05,9,13,*
201104,CC02,C07-04,17,26,*
201104,CC02,C07-05,1,11,*
201104,CC02,D07-02,31,47,*
201104,CC02,D07-05,27,39,*
201104,CC02,E07-02,6,21,*
201104,CC02,E07-03,20,27,*
201104,CC02,E07-05,39,64,*
201104,CC02,F07-02,28,35,*
201104,CC02,F07-04,19,23,*
201104,CC02,A08-03,24,33,*
201104,CC02,B08-04,38,48,*
201104,CC02,C08-01,19,35,*
201104,CC02,C08-02,18,33,*
201104,CC02,E08-02,15,23,*
201104,CC02,E08-03,27,36,*
201104,CC02,E08-04,6,13,*
201104,CC02,F08-04,34,47,*
201104,CC02,A09-03,36,54,*
201104,CC02,A09-04,61,71,*
201104,CC02,B09-01,18,35,*
201104,CC02,B09-02,21,32,*
201104,CC02,B09-03,58,83,*
201104,CC02,C09-01,15,23,*
201104,CC02,E09-03,27,37,*
201104,CC02,E09-05,45,80,*
201104,CC02,F09-03,24,36,*
201104,CC02,F09-04,34,44,*
201104,CC02,F09-05,54,71,*
201104,CC02,A10-03,3,18,*
201104,CC02,A10-04,53,65,*
201104,CC02,A10-05,12,15,*
201104,CC02,B10-01,6,7,*
201104,CC02,B10-02,24,36,*
201104,CC02,B10-03,5,10,*
201104,CC02,C10-01,11,15,*
201104,CC02,C10-05,5,9,*
201104,CC02,D10-01,9,12,*
201104,CC02,E10-01,6,10,*
201104,CC02,E10-03,28,37,*
201104,CC02,F10-04,10,14,*
201104,CC02,B11-01,2,4,*
201104,CC02,B11-02,2,9,*
201104,CC02,B11-03,1,19,*
201104,CC02,B11-05,45,65,*
201104,CC02,C11-02,25,27,*
201104,CC02,E11-02,35,44,*
201104,CC02,F11-03,7,16,*
201104,CC02,A12-02,12,27,*
201104,CC02,A12-05,2,5,*
201104,CC02,B12-05,10,20,*
201104,CC02,C12-03,24,34,*
201104,CC02,D12-05,73,94,*
201104,CC02,E12-01,13,17,*
201104,CC02,E12-03,4,17,*
201104,CC02,E12-04,24,37,*
201104,CC02,F12-01,16,17,*
201104,CC02,F12-05,19,49,*
